PS C:\Users\ИСП-20\Desktop\Родин\Desktop_Auth> python -m cProfile "code.py"
         4340 function calls (4298 primitive calls) in 5.119 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      6/1    0.000    0.000    5.119    5.119 {built-in method builtins.exec}
        1    0.000    0.000    5.119    5.119 code.py:1(<module>)
        1    0.000    0.000    4.754    4.754 __init__.py:1483(mainloop)
        1    4.746    4.746    4.754    4.754 {method 'mainloop' of '_tkinter.tkapp' objects}
      5/2    0.000    0.000    0.219    0.109 <frozen importlib._bootstrap>:1167(_find_and_load)
      5/2    0.000    0.000    0.219    0.109 <frozen importlib._bootstrap>:1122(_find_and_load_unlocked)
      5/2    0.000    0.000    0.217    0.109 <frozen importlib._bootstrap>:666(_load_unlocked)
      4/2    0.000    0.000    0.217    0.109 <frozen importlib._bootstrap_external>:934(exec_module)
     12/3    0.000    0.000    0.215    0.072 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        1    0.000    0.000    0.214    0.214 __init__.py:1(<module>)
        5    0.000    0.000    0.209    0.042 <frozen importlib._bootstrap>:566(module_from_spec)
        1    0.000    0.000    0.209    0.209 <frozen importlib._bootstrap_external>:1231(create_module)
        1    0.209    0.209    0.209    0.209 {built-in method _imp.create_dynamic}
        1    0.000    0.000    0.137    0.137 __init__.py:2306(__init__)
        1    0.136    0.136    0.136    0.136 {built-in method _tkinter.create}
       23    0.017    0.001    0.017    0.001 {method 'call' of '_tkinter.tkapp' objects}
        6    0.000    0.000    0.009    0.002 __init__.py:2616(__init__)
        1    0.000    0.000    0.009    0.009 __init__.py:1943(__call__)
        1    0.000    0.000    0.009    0.009 __init__.py:2364(destroy)
        3    0.000    0.000    0.008    0.003 __init__.py:3196(__init__)
        4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
        5    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1056(_find_spec)
        5    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1496(find_spec)
        5    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1464(_get_spec)
       27    0.003    0.000    0.003    0.000 {built-in method nt.stat}
       10    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
       23    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        6    0.000    0.000    0.002    0.000 __init__.py:2633(destroy)
      6/3    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1209(_handle_fromlist)
        4    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        4    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.002    0.002 {built-in method builtins.__import__}
        2    0.000    0.000    0.001    0.001 __init__.py:3090(__init__)
       44    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 enum.py:1645(convert_class)
        1    0.000    0.000    0.001    0.001 messagebox.py:1(<module>)
        7    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.001    0.001 __init__.py:2374(readprofile)
        2    0.000    0.000    0.001    0.000 __init__.py:225(compile)
        2    0.000    0.000    0.001    0.000 __init__.py:272(_compile)
       48    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        2    0.000    0.000    0.000    0.000 _compiler.py:738(compile)
        4    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        4    0.000    0.000    0.000    0.000 <frozen genericpath>:27(isfile)
        1    0.000    0.000    0.000    0.000 __init__.py:2687(__init__)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
        2    0.000    0.000    0.000    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      4/2    0.000    0.000    0.000    0.000 _parser.py:447(_parse_sub)
        2    0.000    0.000    0.000    0.000 _compiler.py:571(_code)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:392(cached)
        1    0.000    0.000    0.000    0.000 __init__.py:4643(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:348(namedtuple)
      4/2    0.000    0.000    0.000    0.000 _parser.py:507(_parse)
       12    0.000    0.000    0.000    0.000 __init__.py:1524(_options)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
        2    0.000    0.000    0.000    0.000 _compiler.py:509(_compile_info)
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
      632    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
